ถ้าไม่กินข้าวจะผอมเป็นไม่เหมือนพี่นะ,Bullying
ดูคนนั้นสิ ไม่ชอบกินผักเลยอ้วนหน้าเกลียดเหมือนหมูเลย,Bullying
กูที่เห็นคอมเมนท์?โง่ๆแบบนี้,Bullying
สิ่งที่เป็นภาระคือพวกมึง,Bullying
ถ้าสมองมีแค่นี้ก็ก็ออกไปทำอย่างอื่นเถอะ,Bullying
เว็บแม่งอย่างกาก,Bullying
ตอบคำถามได้ควายจัง อนาคตเด็กต้องมาเจอระบบแบบพวกมึงคิดเนี่ยนะ,Bullying
เกิดมาทำไม อีควาย,Bullying
ตกใจหมด ไอหน้าผี,Bullying
อีช้างน้ำ ก้าวทีแผ่นดินสะเทือนหมด,Bullying
อ้วนๆอย่างนี้สงสัยกินผัวเป็นอาหารเช้า,Bullying
น้องๆ ขอฟักทองหน่อยเพื่อนพี่เค้าชอบ,Bullying
แต่งตัวเหมือนเขมรเลย,Bullying
ทุเรศว่ะ ไอขอทาน,Bullying
จะอ้วก หน้าเหมือนหมา,Bullying
ฟิวเตอร์ก็ลอยแถมยังแลบลิ้น,Bullying
หุ่นเหมือนกรรมกรแบกปูนดีตรงไหนวะ,Bullying
สวยสะพรึงมาก,Bullying
สงสารหุ่นที่ต้องมาอยู่บนใบหน้าแบบคนอย่างหล่อน,Bullying
ดำขึ้นหรือเปล่า ,Bullying
หน้าดูหมอง ๆ นะ ,Bullying
ไปทำอะไรมาโทรมจัง,Bullying
แต่งหน้าแบบนี้จะไปเล่นงิ้วที่ไหน ,Bullying
ลด ๆ ได้แล้วมั้ง อ้วนใหญ่แล้วนะ,Bullying
อ้วนขึ้นปะเนี่ย ,Bullying
ตัวบวม ๆ นะช่วงนี้,Bullying
ตัวขนาดนี้ สงสารกระดุมเสื้อบ้าง,Bullying
ผอมเป็นไม้เสียบผีแล้วเนี่ย กินข้าวบ้างนะ,Bullying
บำรุงหน้าบ้างก็ดีนะคะ,Bullying
แต่งตัวอะไรเนี่ย ทำไมกล้าออกจากบ้าน ,Bullying
ใส่เสื้อตัวนี้อีกแล้ว มีเสื้อตัวเดียวเหรอ ,Bullying
นมก็ไม่มี ว้ายๆ,Bullying
อีบ้านนอกเอ๋อ,Bullying
เด็กอีสานโคตรจน,Bullying
แต่งหน้าโคตรเข้ม เหมือนกระเทยไปวันๆ,Bullying
อีเต่ากะเทยเเก่,Bullying
ทำไมแต่ละคนเวลาพูดออกพยายามบีบเสียงให้ดัดจริต,Bullying
กลับไปไหว้วัวไหว้ควายซะ ไอ้โง่,Bullying
มั่นหน้าเกิน กลับไปส่องกระจกซะไป,Bullying
อุบาทว์,Bullying
นางหิวแสง จะให้แสงนางทำไม อุบาทว์ๆแบบนี้ปล่อยให้อยู่ในโลกของมันคนเดียวไปเถอะค่ะ,Bullying
นี่ฟันหรือสันกำแพง,Bullying
สงสารคนที่เขาใช้ชีวิตอยู่รอบๆตัวมันนะ สกปรกชิบหาย,Bullying
อีดอก สยองมาก,Bullying
อีดอก สภาพแบบนี้ส่งเข้าโรงบาลบ้าด่วนค่ะ,Bullying
